동별,구분별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
가산동,유학생,외국인주민 총괄(동별),,22,36,30,42,45,82,111
가산동,외국국적동포,외국인주민 총괄(동별),,"1,421","1,461","1,631","1,672","1,582","1,810","1,910"
가산동,기타외국인,외국인주민 총괄(동별),,973,"1,033","1,157","1,143","1,200","1,204","1,101"
가산동,한국국적을 취득한 자,외국인주민 총괄(동별),,467,452,422,416,419,418,432
가산동,외국인주민 자녀(출생),외국인주민 총괄(동별),,91,102,85,98,121,109,110
독산1동,합계,외국인주민 총괄(동별),,"3,498","3,503","3,988","3,829","4,035","4,065","3,850"
독산1동,외국인근로자,외국인주민 총괄(동별),,"1,574","1,309","1,022","1,176","1,099",899,673
독산1동,결혼이민자,외국인주민 총괄(동별),,160,242,206,243,265,244,252
독산1동,유학생,외국인주민 총괄(동별),,15,20,32,33,39,46,50
독산1동,외국국적동포,외국인주민 총괄(동별),,762,835,"1,027","1,070","1,094","1,281","1,287"
독산1동,기타외국인,외국인주민 총괄(동별),,588,656,"1,198",771,918,915,826
독산1동,한국국적을 취득한 자,외국인주민 총괄(동별),,291,325,363,381,439,501,546
독산1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,108,116,140,155,181,179,216
독산2동,합계,외국인주민 총괄(동별),,"2,848","2,836","3,030","3,345","3,473","3,445","3,337"
독산2동,외국인근로자,외국인주민 총괄(동별),,990,828,699,911,967,739,555
독산2동,결혼이민자,외국인주민 총괄(동별),,168,237,230,229,235,201,199
독산2동,유학생,외국인주민 총괄(동별),,7,18,15,15,15,19,20
독산2동,외국국적동포,외국인주민 총괄(동별),,620,686,891,944,979,"1,143","1,251"
독산2동,기타외국인,외국인주민 총괄(동별),,558,552,639,685,723,752,733
독산2동,한국국적을 취득한 자,외국인주민 총괄(동별),,358,377,404,415,401,437,426
독산2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,147,138,152,146,153,154,153
독산3동,합계,외국인주민 총괄(동별),,"7,561","7,591","7,409","8,134","7,986","7,854","7,431"
독산3동,외국인근로자,외국인주민 총괄(동별),,"3,025","2,547","1,981","2,473","2,343","1,875","1,319"
독산3동,결혼이민자,외국인주민 총괄(동별),,326,477,426,444,481,368,355
독산3동,유학생,외국인주민 총괄(동별),,13,19,22,21,16,26,30
독산3동,외국국적동포,외국인주민 총괄(동별),,"1,785","1,980","2,332","2,454","2,313","2,673","2,856"
독산3동,기타외국인,외국인주민 총괄(동별),,"1,374","1,513","1,539","1,610","1,657","1,697","1,651"
독산3동,한국국적을 취득한 자,외국인주민 총괄(동별),,810,813,884,899,932,977,974
독산3동,외국인주민 자녀(출생),외국인주민 총괄(동별),,228,242,225,233,244,238,246
독산4동,합계,외국인주민 총괄(동별),,"2,950","3,083","3,246","3,812","3,915","3,892","3,598"
독산4동,외국인근로자,외국인주민 총괄(동별),,"1,128",906,806,"1,107","1,032",834,575
독산4동,결혼이민자,외국인주민 총괄(동별),,168,228,205,217,236,179,176
독산4동,유학생,외국인주민 총괄(동별),,8,5,7,13,12,9,8
독산4동,외국국적동포,외국인주민 총괄(동별),,621,735,980,"1,114","1,143","1,343","1,430"
독산4동,기타외국인,외국인주민 총괄(동별),,531,677,692,781,881,938,820
독산4동,한국국적을 취득한 자,외국인주민 총괄(동별),,391,420,452,466,473,458,453
독산4동,외국인주민 자녀(출생),외국인주민 총괄(동별),,103,112,104,114,138,131,136
시흥1동,합계,외국인주민 총괄(동별),,"3,582","3,724","4,077","4,228","4,217","4,171","3,922"
시흥1동,외국인근로자,외국인주민 총괄(동별),,"1,212","1,049",893,"1,083",988,801,558
시흥1동,결혼이민자,외국인주민 총괄(동별),,201,282,263,271,301,225,220
시흥1동,유학생,외국인주민 총괄(동별),,12,15,11,10,7,12,18
시흥1동,외국국적동포,외국인주민 총괄(동별),,795,924,"1,168","1,265","1,281","1,459","1,506"
시흥1동,기타외국인,외국인주민 총괄(동별),,727,789,"1,025",894,916,950,884
시흥1동,한국국적을 취득한 자,외국인주민 총괄(동별),,468,484,545,536,534,535,539
시흥1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,167,181,172,169,190,189,197
시흥2동,합계,외국인주민 총괄(동별),,336,322,320,337,348,374,352
시흥2동,외국인근로자,외국인주민 총괄(동별),,24,19,17,19,16,19,15
시흥2동,결혼이민자,외국인주민 총괄(동별),,62,64,63,53,52,52,50
시흥2동,유학생,외국인주민 총괄(동별),,***,***,***,***,***,*,*
시흥2동,외국국적동포,외국인주민 총괄(동별),,49,48,49,48,44,45,46
시흥2동,기타외국인,외국인주민 총괄(동별),,50,55,43,58,70,65,49
